"octave1","octave2","octave3","octave4","octave5","octave6","octave7","octave8","octave9","octave10","octave11","quality"
145.000,165.000,181.500,222.125,207.289,202.842,185.003,162.793,132.076,104.932,0.000,0.000,-180
131.000,150.000,178.000,226.500,193.922,192.615,173.808,169.014,141.196,118.663,0.000,0.000,-180
96.000,125.000,156.000,197.750,165.109,173.829,146.077,150.462,104.886,90.924,0.000,0.000,-180
88.000,111.000,138.000,174.750,135.570,142.362,119.990,123.822,71.589,60.512,0.000,0.000,-180
73.000,106.000,135.500,169.250,165.180,190.252,152.327,152.761,103.425,118.902,0.000,0.000,-180
70.000,105.000,141.000,175.750,170.141,186.242,149.677,175.813,145.914,137.523,0.000,0.000,-180
171.000,214.000,254.000,223.375,190.398,181.872,150.044,164.383,145.635,127.768,0.000,0.000,-180
147.000,164.000,190.500,234.750,196.938,194.017,208.130,174.080,141.761,117.001,0.000,0.000,360
163.000,200.000,230.500,207.250,179.008,197.453,193.469,194.807,127.525,116.719,0.000,0.000,180
140.000,175.000,206.500,197.500,174.344,196.063,218.397,192.997,126.171,104.815,0.000,0.000,180
134.000,164.000,183.500,212.750,225.133,198.318,173.496,173.892,142.753,134.096,0.000,0.000,-360
131.000,140.000,168.500,210.000,198.453,169.463,156.191,171.722,171.121,134.201,0.000,0.000,-360
97.000,120.000,142.000,185.125,179.531,142.467,131.109,184.951,163.041,123.232,0.000,0.000,-360
86.000,102.000,119.000,158.750,153.867,132.367,130.408,199.290,134.655,88.582,0.000,0.000,-360
69.000,98.000,112.000,121.000,122.508,121.710,109.108,144.138,101.187,121.642,0.000,0.000,360
64.000,95.000,108.000,110.375,164.406,119.617,106.275,139.968,134.937,119.469,0.000,0.000,360
176.000,208.000,249.000,214.750,178.445,160.298,140.676,146.370,139.263,117.144,0.000,0.000,360
142.000,174.000,211.500,176.125,137.539,115.913,99.082,107.485,96.162,75.781,0.000,0.000,360
134.000,169.000,197.000,219.625,210.438,204.843,179.533,172.297,138.043,119.187,0.000,0.000,360
125.000,144.000,174.000,223.250,182.727,168.725,188.410,143.889,135.610,108.040,0.000,0.000,-360
112.000,135.000,166.000,215.500,177.969,173.700,174.390,141.425,120.981,102.230,0.000,0.000,-360
88.000,106.000,138.500,187.000,172.969,182.850,171.914,174.472,89.014,70.099,0.000,0.000,-360
154.000,210.000,240.000,206.125,178.203,177.972,173.418,163.852,106.103,108.321,0.000,0.000,-360
109.000,162.000,192.500,185.250,169.227,180.701,192.220,168.281,109.881,80.634,0.000,0.000,-360
101.000,135.000,165.500,182.500,168.242,178.501,200.201,169.768,109.887,84.832,0.000,0.000,-360
124.000,155.000,166.000,224.125,207.430,196.995,184.589,172.993,155.520,128.567,0.000,0.000,360
138.000,162.000,172.500,234.250,201.617,203.718,180.610,178.232,153.071,133.022,0.000,0.000,360
118.000,139.000,163.500,221.250,210.617,206.329,180.919,170.956,138.778,115.320,0.000,0.000,360
93.000,116.000,149.000,200.250,175.281,183.321,168.106,152.276,119.143,92.133,0.000,0.000,360
63.000,86.000,129.000,176.625,208.453,188.008,171.049,175.964,124.172,119.584,0.000,0.000,180
154.000,204.000,246.500,220.125,204.664,190.403,158.487,173.171,121.671,108.891,0.000,0.000,180
156.000,174.000,197.000,220.500,212.320,212.971,209.296,167.634,120.103,101.704,0.000,0.000,-360
152.000,171.000,193.500,229.000,207.820,209.688,206.706,178.995,146.158,133.711,0.000,0.000,-360
113.000,136.000,169.000,212.625,196.375,186.527,186.096,167.321,123.477,113.456,0.000,0.000,-360
